time_iso8601,stars_cumulative
2020-06-06 00:00:00+00:00,412
2020-06-12 00:00:00+00:00,413
2020-06-14 00:00:00+00:00,414
2020-06-15 00:00:00+00:00,415
2020-06-26 00:00:00+00:00,416
2020-06-28 00:00:00+00:00,417
2020-06-29 00:00:00+00:00,418
2020-06-30 00:00:00+00:00,419
2020-07-02 00:00:00+00:00,420
2020-07-04 00:00:00+00:00,421
2020-07-07 00:00:00+00:00,423
2020-07-08 00:00:00+00:00,425
2020-07-17 00:00:00+00:00,426
2020-07-20 00:00:00+00:00,428
2020-07-27 00:00:00+00:00,429
2020-07-30 00:00:00+00:00,430
2020-08-01 00:00:00+00:00,431
2020-08-02 00:00:00+00:00,433
2020-08-04 00:00:00+00:00,437
2020-08-10 00:00:00+00:00,438
2020-08-12 00:00:00+00:00,439
2020-08-15 00:00:00+00:00,440
2020-08-17 00:00:00+00:00,441
2020-08-19 00:00:00+00:00,443
2020-08-21 00:00:00+00:00,444
2020-08-22 00:00:00+00:00,445
2020-08-23 00:00:00+00:00,446
2020-08-25 00:00:00+00:00,447
2020-08-27 00:00:00+00:00,448
2020-08-29 00:00:00+00:00,449
2020-09-06 00:00:00+00:00,453
2020-09-08 00:00:00+00:00,454
2020-09-13 00:00:00+00:00,455
2020-09-19 00:00:00+00:00,456
2020-09-20 00:00:00+00:00,458
2020-09-22 00:00:00+00:00,461
2020-09-23 00:00:00+00:00,462
2020-09-27 00:00:00+00:00,464
2020-10-02 00:00:00+00:00,465
2020-10-05 00:00:00+00:00,466
2020-10-06 00:00:00+00:00,468
2020-10-07 00:00:00+00:00,469
2020-10-08 00:00:00+00:00,470
2020-11-01 00:00:00+00:00,471
2020-11-02 00:00:00+00:00,473
2020-11-03 00:00:00+00:00,474
2020-11-06 00:00:00+00:00,475
2020-11-13 00:00:00+00:00,476
2020-11-14 00:00:00+00:00,477
2020-11-19 00:00:00+00:00,479
2020-11-22 00:00:00+00:00,480
2020-11-25 00:00:00+00:00,481
2020-11-27 00:00:00+00:00,483
2020-11-28 00:00:00+00:00,484
2020-12-01 00:00:00+00:00,485
2020-12-10 00:00:00+00:00,486
2020-12-16 00:00:00+00:00,488
2020-12-20 00:00:00+00:00,489
2020-12-21 00:00:00+00:00,490
2021-01-03 00:00:00+00:00,491
2021-01-06 00:00:00+00:00,493
2021-01-09 00:00:00+00:00,495
2021-01-13 00:00:00+00:00,496
2021-01-14 00:00:00+00:00,497
2021-01-15 00:00:00+00:00,498
2021-01-18 00:00:00+00:00,499
2021-01-22 00:00:00+00:00,500
2021-01-25 00:00:00+00:00,501
2021-01-26 00:00:00+00:00,502
2021-01-28 00:00:00+00:00,503
2021-02-01 00:00:00+00:00,504
2021-02-07 00:00:00+00:00,505
2021-02-11 00:00:00+00:00,506
2021-02-12 00:00:00+00:00,507
